url,label
diaryofagameaddict.com,0
espdesign.com.au,0
iamagameaddict.com,0
kalantzis.net,0
slightlyoffcenter.net,0
toddscarwash.com,0
tubemoviez.com,0
ipl.hk,0
crackspider.us,0
pos-kupang.com,0
rupor.info,0
svision-online.de,0
officeon.ch.ma,0
sn-gzzx.com,0
sunlux.net,0
outporn.com,0
timothycopus.aimoo.com,0
xindalawyer.com,0
freeserials.spb.ru,0
deletespyware-adware.com,0
orbowlada.strefa.pl,0
ruiyangcn.com,0
zkic.com,0
adserving.favorit-network.com,0
cracks.vg,0
juicypussyclips.com,0
nuptialimages.com,0
andysgame.com,0
bezproudoff.cz,0
ceskarepublika.net,0
hotspot.cz,0
gmcjjh.org,0
nerez-schodiste-zabradli.com,0
nordiccountry.cz,0
nowina.info,0
obada-konstruktiwa.org,0
otylkaaotesanek.cz,0
pb-webdesign.net,0
pension-helene.cz,0
podzemi.myotis.info,0
smrcek.com,0
spekband.com,0
m2132.ehgaugysd.net,0
webcom-software.ws,0
worldgymperu.com,0
zgsysz.com,0
oknarai.ru,0
realinnovation.com,0
hardcorepornparty.com,0
zous.szm.sk,0
noveslovo.com,0
dimsnetwork.com,0
luckyblank.info,0
luckyclean.info,0
luckyclear.info,0
luckyeffect.info,0
luckyhalo.info,0
luckypure.info,0
luckyshine.info,0
luckysuccess.info,0
luckysure.info,0
luckytidy.info,0
nudebeachgalleries.net,0
buffalogoesout.com,0
achren.org,0
associatesexports.com,0
antalya.ru,0
conds.ru,0
img001.com,0
unalbilgisayar.com,0
soundcomputers.net,0
t-sb.net,0
hanulsms.com,0
semengineers.com,0
srslogisticts.com,0
tendersource.com,0
traff1.com,0
web-olymp.ru,0
oprahsearch.com,0
rl8vd.kikul.com,0
sbnc.hak.su,0
somnoy.com,0
incoctel.cl,0
westlifego.com,0
nadegda-95.ru,0
romsigmed.ro,0
spatsz.com,0
svetyivanrilski.com,0
titon.info,0
tophostbg.net,0
vivaweb.org,0
vocational-training.us,0
warco.pl,0
bde.be,0
pwvita.pl,0
roks.ua,0
skgroup.kiev.ua,0
tecnocuer.com,0
tk-gregoric.si,0
tomalinoalambres.com.ar,0
vipdn123.blackapplehost.com,0
womenslabour.org,0
wroclawski.com.pl,0
xoomer.alice.it,0
propan.ru,0
firehouse651.com,0
freewebtown.com,0
webcashmaker.com,0
stormpages.com,0
spykit.110mb.com,0
sentrol.cl,0
kjbbc.net,0
torgi.kz,0
uriyuri.com,0
usaenterprise.com,0
wigglewoo.com,0
xorgwebs.webs.com,0
plengeh.wen.ru,0
wahyufian.zoomshare.com,0
hospedar.xpg.com.br,0
dl.heima8.com,0
update.51edm.net,0
xiruz.kit.net,0
wfoto.front.ru,0
ska.energia.cz,0
obyz.de,0
callingcardsinstantly.com,0
dawnframing.com,0
free-crochet-pattern.com,0
js.tongji.linezing.com,0
oiluk.net,0
adgallery.whitehousedrugpolicy.gov,0
vvvic.com,0
sportsulsan.co.kr,0
papamamandoudouetmoi.com,0
hst-19-33.splius.lt:8080,0
tabex.sopharma.bg:8080,0
professionalblackbook.com,0
0koryu0.easter.ne.jp,0
whitesports.co.kr,0
typeofmarijuana.com,0
trafficgrowth.com,0
thcvaporizer.com,0
roorbong.com,0
thcextractor.com,0
purethc.com,0
potvaporizer.com,0
portablevaporizer.com,0
cannabispicture.com,0
cannabislyric.com,0
dp-medien.eu,0
juedische-kammerphilharmonie.de,0
utopia-muenchen.de,0
vernoblisk.com,0
vural-electronic.com,0
purplehorses.net,0
wildsap.com,0
ohiomm.com,0
saturnleague.com,0
be-funk.com,0
revistaelite.com,0
wrestlingexposed.com,0
santacruzsuspension.com,0
sitepalace.com,0
doctor-alex.com,0
cznshuya.ivnet.ru,0
tpt.edu.in,0
inlinea.co.uk,0
downloads-whatsapp.com,0
websalesusa.com,0
rempko.sk,0
secondome.com,0
reishus.de,0
sexzoznamka.eu,0
a.update.51edm.net,0
bravetools.net,0
vette-porno.nl,0
obkom.net.ua,0
wkmg.co.kr,0
blacknite.eu,0
bargainracks.co.uk,0
pokachi.net,0
pride-u-bike.com,0
quotidiennokoue.com,0
safety.amw.com,0
wmserver.net,0
wp9.ru,0
sanseracingteam.com,0
sonnoli.com,0
stirparts.ru,0
tiergestuetzt.de,0
pic.starsarabian.com,0
angolotesti.it,0
w612.nb.host127-0-0-1.com,0
q28840.nb.host127-0-0-1.com,0
w4988.nb.host127-0-0-1.com,0
z32538.nb.host127-0-0-1.com,0
afa15.com.ne.kr,0
rsiuk.co.uk,0
fgawegwr.chez.com,0
montezuma.spb.ru,0
freeserials.ws,0
allxscan.tk,0
pornstarss.tk,0
helesouurusa.cjb.com,0
luwyou.com,0
update.onescan.co.kr,0
sudcom.org,0
scdsfdfgdr12.tk,0
scaner-do.tk,0
scaner-file.tk,0
scaner-figy.tk,0
ns2ns1.tk,0
scaner-or.tk,0
exsexytop.tk,0
scaner-sboom.tk,0
scaner-sbite.tk,0
scaner-tfeed.tk,0
linkforme.tk,0
scaner-tgame.tk,0
scaner-sdee.tk,0
web-fill.tk,0
internet-bb.tk,0
textsex.tk,0
